#node1 node2 weight
mb poor 40
mb play 40
little play 40
fool little 40
fool well 40
puppet well 40
puppet thinking 40
control thinking 40
control string 40
fire think 40
fire humanly 40
humanly started 40
bet discus 168
brother discus 168
brother crown 296
crown prince 624
mohammad prince 168
bin mohammad 168
better watch 8
dog watch 8
dog good 8
girl good 32
national problem 72
dementia impeached 40
help please 256
australia help 112
australia send 56
extra send 56
extra help 56
control help 56
amp control 56
amp put 56
know told 80
told u 128
earlier u 80
know slip 40
know nearer 40
destination nearer 40
exactly response 40
exactly imagine 40
imagine liberal 40
post transcript 40
million talk 40
million saudi 40
gave saudi 40
gave jared 40
jared trump 40
hi trump 40
hacker hi 40
australia tell 48
australia raked 40
raked tree 40
like tree 40
california like 40
california fire 40
need yes 80
clean need 88
clean scum 80
scum white 80
house white 345
right yes 40
right stability 40
destroy stability 40
destroy military 40
base military 128
base west 40
asia west 40
asia wait 40
oh yes 56
president true 40
lie send 96
back send 104
back expert 96
remember said 72
north said 72
korea north 136
good korea 72
good time 592
extorting foreign 40
country foreign 80
aid country 40
aid nation 40
nation state 48
homeless state 48
actually hear 40
hear mother 40
ask kiss 40
ask murder 40
ahead go 96
ahead make 40
day make 40
day sudden 40
impact sudden 40
give talked 48
give shelter 40
flee shelter 40
flee usa 40
arrested usa 40
hate trump 96
fuck mother 80
hold line 40
line sir 40
despite sir 40
despite medium 40
medium million 40
gotten million 40
back gotten 40
back love 40
money much 48
king money 40
king offer 40
require senate 40
evidence require 40
evidence forwarded 40
forwarded senate 40
president safer 704
leading president 704
disaster leading 704
impeached porn 40
porn star 41
humping star 40
grabbing humping 40
grabbing pathological 40
lying pathological 40
degenerate lying 40
degenerate racist 40
believe playing 40
con playing 40
con game 40
game house 40
experience house 40
experience professional 40
con professional 40
found new 40
new word 40
describes word 40
loved sure 40
fact loved 40
fact war 40
crime war 240
crime killing 40
iran killing 120
general iran 64
general scotched 40
attempt scotched 40
buy want 40
buy time 40
candidate time 40
campaign candidate 40
campaign stuck 40
senate stuck 40
arrest discus 40
arrest crown 40
murder prince 40
give u 438
arabia told 40
dear twitter 64
sake twitter 64
sake world 64
suspend world 64
suspend trump 72
trump twitter 64
ideally want 48
president want 64
president united 128
state united 401
mayor state 48
mayor village 48
idiot village 48
peace supporter 40
aussie peace 40
aussie tho 40
get tho 40
get thrown 40
outback thrown 40
outback peace 40
come please 72
come toledo 40
live toledo 40
15 live 40
15 minute 40
away minute 40
away worried 40
iran worried 40
support trump 192
follow trump 184
follow join 176
flip join 176
flip u 176
red u 176
red working 176
flip working 176
flip impeachment 176
love mei 40
month september 72
month pittsburgh 72
frustrated pittsburgh 72
defend frustrated 72
bet mention 280
crown mention 280
mb prince 288
mb ordering 288
bone ordering 280
bone saw 888
dismemberment saw 296
america dismemberment 280
bomb threaten 40
hundred year 40
hundred president 40
great war 40
mr war 40
mr president 1734
love president 112
dear top 40
10 top 56
10 poorest 40
poorest state 40
state u 64
republican u 40
republican stronghold 40
bully stronghold 40
matter say 40
going say 72
going stop 56
democrat stop 40
democrat getting 40
getting office 40
tore yes 40
signature tore 40
price saw 40
australia president 40
australia government 40
government killing 48
killing poor 40
orphan poor 40
ba orphan 40
get involved 48
involved religious 40
religious war 72
sunnite war 40
sunnite th 40
charge follow 96
charge stimulus 96
money stimulus 120
money spent 96
may stimulus 72
may tapper 72
ic throwing 160
face ic 160
face said 160
ic said 160
beyond ic 160
beyond reproach 160
bone spur 160
coincidence huge 48
coincidence every 48
every time 104
meet time 48
meet sinister 48
dictatorial sinister 48
dictatorial world 48
finally president 40
know president 64
get know 56
get thing 72
done thing 48
done make 48
happen make 48
happen plane 40
load plane 40
cash load 40
piece saudi 40
piece rest 40
owned rest 40
owned russia 40
done well 128
done mr 56
nuke president 40
iran nuke 80
big nuke 40
despite opposition 64
loved opposition 64
loved million 64
million torn 64
nation torn 64
god nation 64
dedicated god 64
book dedicated 64
bow kiss 40
kiss saudi 40
boot saudi 40
boot commit 40
commit genocide 40
genocide together 40
together yemen 40
waiting war 40
gee wonder 40
mad wonder 40
mad u 40
mr yes 56
president win 56
california win 56
california u 56
hard work 96
barely hard 40
best ever 48
killing right 40
iran second 40
hand second 40
guy hand 40
master trump 104
master victim 104
appropriation victim 104
appropriation weaponizing 104
pain weaponizing 104
pain suffering 104
people suffering 120
people political 104
clout political 104
clout j 104
he loser 48
canadian he 48
canadian talk 48
great talk 48
great president 144
go president 81
back go 120
back country 64
president thank 937
president trump 1798
taking trump 640
iranian taking 640
iranian terrorist 664
crook murderer 40
make murderer 40
best make 40
best friend 40
cant trillion 160
afford cant 200
afford debt 160
debt free 160
education free 160
education healthcare 160
longer there 40
addendum longer 40
addendum additional 40
additional article 40
australia hate 80
job nice 40
great job 112
impeached still 265
cash pay 48
fox hiding 40
den fox 40
economist trump 40
american trump 49
american consumer 40
consumer firm 40
end firm 40
end paying 40
paying trade 40
trade war 64
war wi 40
outed watching 40
fox watching 40
amp fox 96
amp friend 96
claim friend 40
claim eve 40
ready stand 40
ready sir 40
dollar spent 32
dollar threat 32
threat use 32
eq use 32
eq iran 32
iran spend 32
much spend 32
also need 96
need usa 96
urgent usa 96
cooperation urgent 96
cooperation government 96
government kind 96
continue usa 40
continue succeed 40
president succeed 40
hand need 80
hand held 72
cry trump 40
baby cry 48
baby know 40
guilty know 56
guilty hell 40
homeless seven 40
seven straight 40
straight year 40
last year 56
last two 89
two year 56
even scare 40
allowed even 40
allowed talk 40
country talk 40
country leader 56
sure trump 48
bragging trump 48
bout bragging 48
bout got 48
got saudi 48
making saudi 48
making serious 48
gain serious 48
fulfilling gain 48
let see 56
kind see 40
distraction kind 40
distraction going 40
